cj,doa,dor,gender,name
True,1959-12-10,1971-01-21,M,Hon’ble Mr. Justice J.C. Shah
True,1964-03-02,1973-04-25,M,Hon’ble Mr. Justice S.M. Sikri
True,1969-01-08,1977-01-28,M,Hon’ble Mr. Justice A.N. Ray
True,1971-10-12,1978-02-21,M,Hon’ble Mr. Justice M. Hameedullah Beg
True,1972-08-28,1985-11-07,M,Hon’ble Mr. Justice Y.V. Chandrachud
True,1973-07-17,1986-12-20,M,Hon’ble Mr. Justice P.N. Bhagwati
True,1978-02-20,1989-06-18,M,Hon’ble Mr. Justice R.S. Pathak
True,1979-08-03,1989-12-17,M,Hon’ble Mr. Justice E.S. Venkataramiah
True,1983-03-15,1990-09-25,M,Hon’ble Mr. Justice Sabyasachi Mukherjee
True,1983-03-15,1991-11-24,M,Hon’ble Mr. Justice Ranganath Misra
True,1986-10-03,1991-12-12,M,Hon’ble Mr. Justice K.N. Singh
True,1987-01-05,1992-11-17,M,Hon’ble Mr. Justice M.H. Kania
True,1987-05-10,1993-11-02,M,Hon’ble Mr. Justice L.M. Sharma
True,1987-05-10,1994-10-24,M,Hon’ble Mr. Justice M.N. Venkatachaliah
True,1988-12-14,1997-03-24,M,Hon’ble Mr. Justice A.M. Ahmadi
True,1989-03-06,1998-01-17,M,Hon’ble Mr. Justice J.S. Verma
True,1989-06-10,1998-09-10,M,Hon’ble Mr. Justice M.M. Punchhi
True,1991-11-18,2001-10-31,M,Hon’ble Dr. Justice A.S. Anand
True,1992-01-07,2002-05-05,M,Hon’ble Mr. Justice S.P. Bharucha
True,1995-11-09,2002-07-11,M,Hon’ble Mr. Justice B.N. Kirpal
True,1995-11-09,2002-12-18,M,Hon’ble Mr. Justice G.B. Pattanaik
True,1997-03-21,2004-01-05,M,Hon’ble Mr. Justice V.N. Khare
True,1997-09-25,2004-05-31,M,Hon’ble Mr. Justice S. Rajendra Babu
True,1998-09-12,2005-10-31,M,Hon’ble Mr. Justice R.C. Lahoti
True,2000-01-28,2007-01-13,M,Hon’ble Mr. Justice Y.K. Sabharwal
True,2000-08-06,2010-11-05,M,Hon'ble Mr. Justice K.G. Balakrishnan
True,2003-12-18,2012-09-28,M,Hon'ble Mr. Justice S.H. Kapadia
True,2005-09-09,2013-07-18,M,Hon'ble Mr. Justice Altamas Kabir
True,2007-08-21,2014-04-26,M,Hon'ble Mr. Justice P. Sathasivam
True,2008-12-17,2014-09-27,M,Hon'ble Mr. Justice R. M. Lodha
True,2008-12-17,2015-02-12,M,Hon'ble Mr. Justice H.L. Dattu
True,2009-11-17,2017-03-01,M,Hon'ble Mr. Justice T.S. Thakur
